State, FavorOfGuns, Count
AK, 0, 9
AK, 1, 2
AL, 0, 61
AL, 1, 21
AR, 0, 35
AR, 1, 9
AZ, 0, 70
AZ, 1, 37
CA, 0, 508
CA, 1, 162
CO, 0, 79
CO, 1, 24
CT, 0, 49
CT, 1, 26
DC, 0, 50
DC, 1, 18
DE, 0, 18
DE, 1, 9
FL, 0, 326
FL, 1, 118
GA, 0, 100
GA, 1, 40
HI, 0, 17
HI, 1, 7
IA, 0, 21
IA, 1, 7
ID, 0, 19
ID, 1, 10
IL, 0, 122
IL, 1, 73
IN, 0, 80
IN, 1, 31
KS, 0, 34
KS, 1, 11
KY, 0, 36
KY, 1, 23
LA, 0, 31
LA, 1, 7
MA, 0, 94
MA, 1, 39
MD, 0, 82
MD, 1, 30
ME, 0, 10
ME, 1, 7
MI, 0, 87
MI, 1, 35
MN, 0, 47
MN, 1, 15
MO, 0, 86
MO, 1, 36
MS, 0, 22
MS, 1, 13
MT, 0, 10
MT, 1, 3
NC, 0, 105
NC, 1, 50
ND, 0, 5
ND, 1, 0
NE, 0, 25
NE, 1, 7
NH, 0, 17
NH, 1, 7
NJ, 0, 70
NJ, 1, 39
NM, 0, 19
NM, 1, 6
NV, 0, 54
NV, 1, 22
NY, 0, 258
NY, 1, 99
OH, 0, 135
OH, 1, 62
OK, 0, 46
OK, 1, 18
OR, 0, 72
OR, 1, 26
PA, 0, 200
PA, 1, 57
RI, 0, 6
RI, 1, 3
SC, 0, 56
SC, 1, 24
SD, 0, 6
SD, 1, 2
TN, 0, 77
TN, 1, 23
TX, 0, 246
TX, 1, 105
UT, 0, 32
UT, 1, 10
VA, 0, 124
VA, 1, 34
VT, 0, 10
VT, 1, 2
WA, 0, 86
WA, 1, 34
WI, 0, 42
WI, 1, 15
WV, 0, 22
WV, 1, 10
WY, 0, 7
WY, 1, 1
