Tweet,For guns?,Location
Too many laws already!  That’s what got us here. ‘Gun free zones ‘. Biggest BS law ever passed. ,-2,"California, USA"
"Via @lesliebrody: “I wish there were no guns so people couldn’t suffer,” said 8-year-old Gabriel Chibane. “It doesn’t make sense. Why shouldn’t they have a longer life instead of just a short life?” ",-2,"Ann Arbor, MI"
"@davidhogg111 @lauren_hoggs this is what happens with kids today. School doesn’t teach history, geography, etc and people like the Hogg’s grow up dumb, ignorant and a product of their home environment. So sad! @FoxNews @CNN @MSNBC @DNC @GOP ",-2,"Lake Pocotopaug, CT"
"@RVAwonk @pudderboy Someone needs to tell me when the Democrats ever wanted to repeal 2A. They just want sensible gun control.  Is that too hard for the GOP to understand?? Oh wait, yes it is ...",-2,"North Port, FL"
Somebody needs to tell Junior American psycho to slow down ,-2,"California, USA"
Part of their useful idiot training. ,-2,"Waterbury, CT"
"@dyllyp If only the ""we need guns to protect against tyranny"" argument could be used as a starting point for guns rights advocates to see where POC are coming from when they identify police abuse and institutionalised racism. But it's not really about tyranny, is it? It's about racism.",-2,"Oakland, CA"
she’s ignorant. ,-2,"Chicago, IL"
"""GuN cOnTrOl LaWs DoN't ChAnGe AnYtHiNg!!!! we have our riGHTS!!! I only love my guns anD MY TRUCK!!! here my reBEL YELL"" ",-2,"Virginia, USA"
"Knowledge is empowerment.

",-2,"Los Angeles, CA"
Rub it in why don’t you 😬 ,-2,"Los Angeles, CA"
Yes it would be if the narrative was to save One Life. However the real narrative is to disarm the Citizens. ,-2,"Delray Beach, FL"
@DAurora_ @NHamill4 @jq_campbell @@A_Suryakant ,-2,"Centreville, VA"
@FLGovScott ⬇️how you know you’re DOING IT WRONG.⤵️⤵️⤵️⤵️⤵️ ,-2,"Benton, IL"
"So frustrated w/“election coverage” in PA. @MSNBC reporter interviews voters who talk about #45s agenda. Doesn’t ask 1 follow up ? to get them to clarify what they want. More jobs, more infrastructure, no new gun laws, more racism, more misogyny? #MakePeopleOwnTheirOpinions",-2,"San Francisco, CA"
"@prezcannady @gridiron_guru67 @KyleKashuv @NRA Is it worth pointing out that the NSSF ( is the firearms industry association and the NRA is a consumer advocacy group?  They have some overlapping concerns, but the #1 largest influencer of firearms sales is, ironically, the gun control lobby.",-2,"Brooklyn, NY"
@kron4news  The murderer was being treated for PTSD and was able to obtain guns @Raul_Labrador,-2,"Boise, ID"
Give up your Guns Schumer. ,-2,"Delray Beach, FL"
"""GuN cOnTrOl LaWs DoN't ChAnGe AnYtHiNg!!!! we have our riGHTS!!! I only love my guns anD MY TRUCK!!! hear my reBEL YELL"" ",-2,"Virginia, USA"
Aaaand the @PittsburghPG just endorsed this guy. I'm embarassed for us.  #Pittsburgh #Pennsylvania #Politics ,-2,"Pittsburgh, PA"
"Sad but so true!
The beginning of the end for the American Dream if we just complain. We have to come forward with ideas that resonates with the American people. ",-2,"Culver City, CA"
"@Lawrence Legal gun owners have rights, too. ",-2,"Tustin, CA"
@DearAuntCrabby That’s just an old and cheap sound bite.  No one has ever wanted nor suggested we take away guns you have!  Boring sound bite!,-2,"Cathedral City, CA"
2019* ,-2,"Kingsland, GA"
Maybe this is the real reason the left hates the NRA. ,-2,"Waterbury, CT"
@ChieroJoseph @OttoJRainer @EricPerry54 @NRA @GovMalloyOffice You will only be hurting the law abiding citizens do you think the hoodrats will give up their guns the criminals are the problem not the guns or law abiding citizens or the 2nd amendment or the N.R.A,-2,"Virginia, USA"
@shannonrwatts Doesn't fit narrative veteran not getting proper care and even in my liberal state has access to guns,-2,"Pacifica, CA"
"@realDonaldTrump Next you’ll be suggesting all doctors and nurses to carry guns, right?",-2,"San Francisco, CA"
Exactly. ,-2,"North Highlands, CA"
Devastating and important. ,-2,"Tucson, AZ"
@1nvisiblePink @DLoesch All this pablum about stricter gun laws. When are all you Kool-Aid drinkers going to work to protect children? We have 10K gun laws and none worked. What will more gun laws do?,-2,"Manchester, NH"
Where on the list is #abortion? Pretty sure those are preventable. #Adoption ,-2,"Vestavia Hills, AL"
@AZEricka @DoctorShimapan @neontaster So it shows that somewhere short of 1/3 of those homicides are firearm-related. So obviously saying guns are the third most common cause is false. No one benefits by misstating statistics. The point can still be made using the real numbers and an honest debate can then be had.,-2,"Oregon, USA"
"@RepSwalwell @NRA As @realDonaldTrump bows to the #NRA, it is up to us to back the students who dared to fight back against “thoughts and prayers” instead of action against gun violence. #NRABloodMoney
.
",-2,"Los Angeles, CA"
I thought her show got cancelled👍 why is she getting ANY attention? ,-2,"Washington, DC"
All that's missing are swastikas and burning torches. America? ,-2,"Baltimore, MD"
This is a blatant attempt to diminish students’ rights to free speech and assembly. Rest assured that we will not be silenced and we will see you after we walk out to demand (not request) safety for ALL students in OUR schools. ,-2,"Atlanta, GA"
"I want to take your guns, re-educate all conservatives, force you to accept non-white + LGBTQ + immigrants as equal Americans, destroy fossil fuel energy sources, institute universal health care, and end all imperialistic military campaigns. ",-2,"Annapolis, MD"
And she wants to be a congressman... #dolt ,-2,"Danbury, CT"
"What is the best option if a person slips through that system, hmmmmmm any ideas? I know! Eliminate military weapons from hands of civilians is more effective. I’ll listen to more of your ideas when you listen to the people you represent instead of the NRA. ",-2,"Kyle, TX"
School safety is but one failure of a venal Congress to undermine the social-economic survivability of young people:—I do hope the Trump presidency &amp; Columbine-to-Portland shootings have created a generation of versant activists that work for the common good. ,-2,"Westfield, NJ"
"This. I  don't want the 2nd amendment gone at all. I  dont want all guns gone. Just sensible gun control. No bump stocks,  no military style, background checks, waiting periods, and an age limit. A buy back program, it works in other countries! ",-2,"Washington, USA"
@teemcee @DwyaneWade @carmeloanthony Please tell me why we have the strictest gun laws in our history but only in the last 30 yrs have we had these major issues when the guns have been mostly unchanged....what’s changed?,-2,"Florida, USA"
@Politics_PR @LisaVanderpump Crap on cracker !! That’s a lot of guns !! Hurry !! Destroy all those guns 🧐!!,-2,"Lake Worth, FL"
How My Playcousin Stopped a Mass Shooting and Disproved the Myth about Good Guys With Guns  via @TheRoot,-2,"St Louis, MO"
@DLoesch Kurt would like to talk. ,-2,"Minnesota, USA"
"@Calroy333 @JBOfromSuwanee Cruz was also a “law abiding citizen” with no criminal record until he shot up his school, genius. Was his home life troubled? Yup. Was he mentally ill? Yup. Would the @NRA have freaked the fuck out if cops went there to confiscate his guns w/no criminal record? Gee. I wonder.",-2,"Columbus, OH"
If you are cruel to animals I say cut off their hands with a dinner fork! You are subhuman if u hurt animals! You deserve nothing but a ton of pain. ,-2,"East Lake, FL"
@TomiLahren Is this why we are for gun laws ?.,-2,"Dubuque, IA"
"This is hilarious. @DLoesch, Miss ""I'm = tough cause I have guns,"" who sold her soul to the @NRA, is 2 much of a snowflake to listen to my words. Ive had many discussions with her about how her unfailing support for all guns to anyone would backfire.  Im blocked ~ Kurt Eichenwald",-2,"Whitewater, WI"
@Shareblue @Resistnow30 Steve Pearce should sit down and shut up! The absolute ridiculous nonsense that comes out of his mouth is amazing! I’m tired of the malarkey and fear mongering coming from the mouths of Republicans! Voters get real no one wants all of your guns and womens rights are important!,-2,"Webster Groves, MO"
@Education4Libs So do drug overdoses!   More than being killed by guns and car accidents.,-2,"Los Angeles, CA"
"Hey, Ross, can you get me a ticket?
A-hole.
#MAGA2018 ",-2,"Lauderhill, FL"
Maybe there’s a thing called the 2nd amendment and that gun control doesn’t work bc look at Chicago ,-2,"La Mirada, CA"
"I'm guilty of this, so please don't take it as judgement. However, I've been thinking what a profound ministry it would be if, instead of focusing on gun rights after a tragedy, all Christians acknowledged total depravity and preached salvation by grace through faith in Christ.",-2,"Texas, USA"
"@DLoesch This is hilarious. @DLoesch, Miss ""I'm = tough cause I have guns,"" who sold her soul to the @NRA, is 2 much of a snowflake to listen to my words. Ive had many discussions with her about how her unfailing support for all guns to anyone would backfire. So, Im blocked. What a wimp.",-2,"California, USA"
"@GottliebShow As a @DavidsonMBB grad, I think many underestimate how good these one bid leagues are, especially for teams like MTSU.  It's like Duke in the Acc everbody guns for you.",-2,"Charlotte, NC"
Is this how Hitler started? @RealJamesWoods @RealOmarNavarro @RealErinCruz @therealroseanne @mitchellvii @DavidWohl @JacobAWohl ,-2,"Tampa, FL"
Is this how Hitler started? @Cernovich @JackPosobiec ,-2,"Tampa, FL"
@ThomasWictor @MsTriaI @almostjingo @GOPPollAnalyst Seriously ? ,-2,"Tampa, FL"
💯 ,-2,"Pretty Bayou, FL"
Please read history. I can’t help you learn if you do not. ,-2,"Decatur, AL"
,-2,"Waverly, TN"
"Proud member of the NRA, Trump Train and Basket of Deplorables😆 ",-2,"North Carolina, USA"
"Between Gun Violence &amp; #MeToo, you have to wonder how long before Hollywood Goes ALL Puritan &amp; Gun Free? Actresses will be dressed like Victorian Dolls. Guns &amp; violence will be strickly prohibited. #DaylightSavings",-2,"Virginia, USA"
Sweeeeet!! Hot Drunk Chicks r just laying around. Like some people think that guns are just lying around about to be picked up.  Only the first one seems true ,-2,"Evans, CO"
"Oh shut UP, they were terrorized &amp; watched their classmates get murdered at school. Did you have this same outrage when white supremacists were marching through Charleston last year with LITERAL SWASTIKAS on their arms??? ",-2,"Kent, OH"
We must stand together on the right side of history. ,-2,"San Jose, CA"
"Part of me says: “you have to work in a college city to be a great college director. “
The other part of me says “hey. Why not just move into the Rocky Mountains in a log cabin with skis, a Jeep, your guns, and fishing equipment to live like you’ve imagined?” 
Me: “hell yeah!..?”",-2,"Ohio, USA"
"I agree. First things first, my dog and I wouldn’t remain roommates.  He needs help before he hurts someone or something else ",-2,"North Carolina, USA"
"@njh2005 @NRA Because I watch NRA leaders like Wayne LaPierre call for more guns after each new shooting, while his organization lobbies against ANY common sense restrictions. If you can't see that, you're hopelessly blind.",-2,"Franklin, MA"
