Tweet,For guns?,Location
POTUS lied to the kids from Parkland and elsewhere re: enacting gun safety laws ASAP (he's done ZER0). Assault rifles are for soldiers not civilians. @realDonaldTrump stands w/ the NRA not kids who have been murdered or traumatized by AR-toting domestic terrorists  #NeverAgain ,-2,"Delray Beach, FL"
"@KateMcD10 @neptos THE point is that the 2nd Amendment to the Constitution of the United States provides any law abiding citizen the right ""to keep and bear arms"", including AR style semi automatic firearms, and that it is not hostage to anyone's discomfort with the exercise of that right.",-2,"Clay, NY"
#ENOUGH #EnoughIsEnough #neveragain #NationalWalkoutDay #NationalSchoolWalkout #StudentWalkout #Florida #FloridaShooting @SenateGOP @HouseGOP @SenateDems @HouseDemocrats @SpeakerRyan @SenateMajLdr ,-2,"Alexandria, VA"
"The problem is not guns it is piss poor parenting.
These young people reflect the a absolute lack of respect that they are shown by their parents whose response to everything they have no logical argument for is tho throw vulgarity at the other side ",-2,"Nevada, USA"
"I don’t get this #Cops episode! There’s a whole BIG drug sting w guns, undercover, code words, etc for 40 OXYCODONE! Not OxyContin but OxyCODONE?! #WTF",-2,"Portland, OR"
"We are going to get the national statistics on Accidental Gun Shootings From Teachers Accidentally Shooting Students in Our School System!  

@realDonaldTrump Your Stupid! ",-2,"Streamwood, IL"
@MSNBC. You do such a great job of standing up &amp; speaking out on issues…about gun control but when are you going to speak out against all of the drugs that are killing our kids every day. If we really want to protect our children will start talking about this seriously,-2,"Texas, USA"
4 GUNS @ SLH ... bruh wtf,-2,"Ashland, CA"
#TimesUp @nra. And you KNOW it! #BoycottNRA #BanAssaultWeaponsNOW ,-2,"Los Angeles, CA"
I have guns to protect my family and if you don’t you are gambling with their lives. ,-2,"West Virginia, USA"
@KyleKashuv @SenBennetCO @SenateMajLdr Wasn’t root cause of the shooting- BULLYING? Why new (unheeded by criminals) gun laws- instead look at laws against BULLYING.,-2,"Tillmans Corner, AL"
@FoxNews @JesseBWatters New York took care of gun control they removed armed police officers from their schools,-2,"Deptford, NJ"
Banning guns will not stop school shootings what will stop school shootings is an armed presence in the school metal detectors reinforced steel doors and IDs to get in the school what is wrong with you people you think rioting in the street will help it Won't,-2,"Virginia, USA"
We are in trouble when these indoctrinated kids can vote!! ,-2,"Connecticut, USA"
"@greggutfeld You are absolutely right, Greg. The school shootings resolve is very complicated and not one that can just be solved with gun control. The Socialist/Marxist Education System has brainwashed our youth to be Leftist activists!",-2,"Pennsylvania, USA"
"Yes, be kind to people. That’s an amazing point, but being kind is not enough. A majority of Americans want more gun control, but the NRA are buying out politicians for their own agenda. This walk out was to take a stance and encourage lawmakers to not be influenced by money. 1/2 ",-2,"Wichita, KS"
@CBCAlerts @CodieneC Guns are not allowed in Congress or in NRA buildings. How can anyone think they should be in schools?,-2,"Poipu, HI"
