tweet,location
8 guns like squidward,"South Whittier, CA"
"Interesting as-applied challenge to Florida #StonemanDouglasHS public safety act by @NRA. 

In addition to asking the whole law to be struck down, the NRA says the law is unconstitutional as applied to females, age 18-21, because they aren’t likely to commit school shootings. https://t.co/RN718pqGkW","Washington, DC"
@ed_grimly @HuffPost does it say 18 years old are allowed have guns that are used for war? Nope,"Garland, TX"
Screw these gun nuts. https://t.co/7mh7p0LoAS,"Franklin, MA"
"@icecube taught me back in school how gun control worked..."" so what they do go and ban the AK?
My shit wasn't registered any fucking way"". It's simple as that, gun control is as worthless as the War on Drugs.","Cedarville, IN"
Screw anyone trying to limit someones 5th amendment ...I know if I was 18-20 (I'm 26!) I wouldn't support this crap one bit. Politicians are idiots and protesters/gun control advocates are emotional symptom oriented people that do not care about solutions. https://t.co/PCKDn1780o,"Colorado Springs, CO"
"Don’t forget, the #NRA wants people to be able to kill as many people as possible. Blood on their hands. https://t.co/ucA5xRPJ4p","Chicago, IL"
The temerity of this organization never ceases to amaze. #NeverAgain https://t.co/slTc8XK33D,"North Canton, OH"
@davidhogg111 @realDonaldTrump What in the crap does “harden schools” mean? And firearms sales are already taxed. Uh....,"Florence, AL"
Those triggers in the NRA database. https://t.co/2myFgiqlmm,"Vancouver, WA"
They big mad 😂 https://t.co/a0GE7x4Lyx,"Virginia, USA"
"Of course they did. 

Have things always been this dysfunctional and angry and I just missed it? https://t.co/gp02MfZ65n","North Carolina, USA"
These fuckers are ruthless. No let up in their assault on civilized society who wish to somehow reduce the carnage that guns have wrought. https://t.co/MIuLFo8c95,"Potomac, MD"
"It’s settled...the NRA is a soulless entity that cares for nothing other than gun sale profits. Whores all, shameless in their greed. https://t.co/2s9dO0n0sm","California, USA"
@sjordan1978 @Michael03244989 @AP I have a lot of guns on my farm.. Never have I committed a felony or hurt a single animal. The left call them assault rifle's.. Because they hate the NRA. Why punish law abiding gun owners.?,"St Clair, MI"
Disgusting. JihaD https://t.co/sJwUDcMUS7,"Summerfield, MD"
NRA is butthurt 😕 Sending thought and prayers. #FuckTheNRA https://t.co/kjEgyBYUGb,"Westerville, OH"
"I love the @NRA's asinine position of belittling 18 year-old ""children"" for possessing opinions, while going to court to argue that raising the purchase age to 21 for guns is unconstitutional because 18 year-olds can vote.","Washington, DC"
"@DLoesch The police were practicing their own liberal version of ‘gun control’. 

If a citizen had showed up with a firearm at the school at the time of the massacre apparently the police would have ordered them to stand back.","Pompano Beach, FL"
"@Rod36430927 @ananavarro Hi I’m not famous.  Average single mom that’s is an educator.  As an educator, this is a disservice to the children of American. As a mother, no way do I want guns and my District has promised to never allow that to happen and that makes me proud! #GoPatMed","Medford, NY"
Going home to they mama house calling it the trap😂 https://t.co/D8WCYTmQtm,"New Orleans, LA"
You brain is either a goldmine or it can be a garbage can... Lots of Americans have bad mental health which contributes more than anything to making the wrong decisions &amp; puts kids on psychopathic and criminal paths but no just take away the right &amp; our children will be safe 😂 https://t.co/MBjyZKevdu,"Colorado Springs, CO"
Wow what a non surprising dick thing to do https://t.co/p76EymlLlq,"Omaha, NE"
@dbongino @RaspanteYvonne In order to reach Dems progressive goal of Communism liberal style they must have gun control.,"Oregon, USA"
@ed_grimly @HuffPost no it's not and most of Americans will agree with me because most people want common sense gun laws,"Garland, TX"
"As crazy as shit has been in our country, it's been a while since I have been shocked. My mouth is agape. @NRA #NRAIsATerroristOrganization https://t.co/qeQebimvdb","Georgia, USA"
"@NRA You idiots in the NRA should be ashamed of your greedy behavior.   America has spoken and we don't want your fricking guns! It's not the old West and crazy kids crazy adults don't have any right to shoot machine guns on campus! No teacher should carry either,  that's just dumb!","Irvine, CA"
"Federalism is only cool when it's not on immigration or guns, apparently. Unless of course it's concealed carry. Also perfectly ok with voting rights, civil rights, education and health care.","South Carolina, USA"
@GrnEyedMandy More guns in school as the solution to guns going off in school is unfathomably stupid,"Orlando, FL"
Fing democrat libtard https://t.co/8XBLiBbjil,"Cherry Hill, VA"
Drinking a Water Guns and Rainbows by @ludlamisland at @goodnightirenes — https://t.co/dqWQNeeWrh,"Wildwood, NJ"
It is time to push the agenda when CHILDREN ARE DYING FROM THE PEW PEW YOU THINK WE NEED MORE OF. I’ve grown up with guns and support the want for them in the home but no one needs a gun that shoots more than two bullets a minute. https://t.co/CGW0tgGwrT,"Florida, USA"
@realDonaldTrump @TurnbullMalcolm Just remind him to keep his very arbitrary and fouled up gun control over there and keep his opinions about our 2A to himself along with their past progressive leaders,"Florida, USA"
Didn't even think about the people who already own guns between age 18-20 ...stupid politicians https://t.co/t04fRxQRqW,"Colorado Springs, CO"
"@tonyposnanski @FPU44 OBAMA LET HIS “FRIENDS” do his DIRTY DEEDS. I can name so many.especially loved the open mic with the Russian President.would trump sell guns to Mexican Criminal Cartel? NEVER. POTUS TRUMP LOVES AMERICA.
do you?","Palm Desert, CA"
"Criminals obey #GunControl laws like Politicians obey their #Oath of office.

Gun Control doesn't work. Why not? Because #gov does nothing about STREET sales. It regulates consumer sales. Criminals can buy any weapon of choice. Consumers cannot. https://t.co/Uw5jWdBfeh","Chicopee, MA"
@SenFeinstein https://t.co/4jhtY25m6w,"Friendswood, TX"
That's not gunfire... that's #PepperBalls #FridayFeeling #AnotherRoundOfPepperBalls https://t.co/LLYOh5uCbz,"California, USA"
"the first four words of this make me laugh because he called her illiterate yet used the wrong “your,” I couldn’t even finish reading because it’s already so painful lmao https://t.co/hrCyUsFIu3","South Carolina, USA"
Word spreads fast https://t.co/RGiiyRidCg,"Houston, TX"
Screw anyone trying to limit someones 2nd amendment ...I know if I was 18-20 (I'm 26!) I wouldn't support this crap one bit. Politicians are idiots and protesters/gun control advocates are emotional symptom oriented people that do not care about solutions.,"Colorado Springs, CO"
"@marcorubio @WhiteHouse @POTUS @realDonaldTrump Ummm hello, every country in the world has video games. Only the US has school shootings once a month.","Frederick, CO"
Greedy morons https://t.co/Qq5CZhaw7I,"Memphis, TN"
You brain is either a goldmine or it can be a garbage can... Lots of Americans have bad mental health which contributes more than anything to making the wrong decisions &amp; puts kids on psychopathic and criminal paths but no just take away the right &amp; our children will be safe 😂 https://t.co/dfZvvjqa3w,"Colorado Springs, CO"
He said I done had all the guns never hadda cheat code😂,"New London, CT"
The @NRA only cares about their money not the safety of the American people.  This is just absurd. https://t.co/qw4IZ8qMHl,"Los Angeles, CA"
"Hangin' with the goodie-goodies loungin' in paradise
Fuck that shit, I wanna tote guns and shoot dice
All my life I been considered as the worst
Lyin' to my mother, even stealin' out her purse https://t.co/r2QQ6ACOXz","Copperas Cove, TX"
@ananavarro @FLGovScott Are you the Queen of compromise?  More guns equals more gun related deaths. That is not a compromise. That is the far right feigning a compromise.,"Newton, MA"
"@NBCNews @joshtpm Unsurprising. 

cc/ 
@apple
@tim_cook 
Are you sure you want to continue to give the NRATV a platform to disseminate NRA propaganda and promote gun sales? The NRA has no interest in meaningful gun control. This strikes me as totally contrary to Apple’s values.","Oakland, CA"
Finally ! https://t.co/T4KfMyE4ol,"Houston, TX"
"@nra will be remembered by history as an organization that lost its way in 1970 as it formed into a terrorist movement by the turn of the century. 
I vow to fight their call for violence. #NeverAgain #MarchForOurLives #MomsDemandAction https://t.co/yxxj2Ct1pP","Tulsa, OK"
🙄 https://t.co/sd74sEnmkE,"Brooklyn, NY"
@NRA really ? Just stop how do you sleep at night oh I know with an AK15 #NeverAgain #GunReform https://t.co/oUsaG3KptT,"West Seneca, NY"
bye nigga https://t.co/1M9epycE0w,"Houston, TX"
"Thoughts and prayers NRA🙏
Now is NOT the time to talk about this❤️new law https://t.co/D4PsT9gmFt","Salem, NH"
https://t.co/QeOeoKPnRz,"Greensboro, NC"
